                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.94711,                0.73065,                 1.4084,                0.98754,                0.81818,                0.89755,                0.53648,                 1.6381,                 1.0835,                 1.7421,              0.0006932,              0.0006932,              0.0006932
                     68,                0.96935,                0.72626,                 1.4504,                0.98753,                0.81818,                0.89071,                0.55092,                 1.6195,                 1.0467,                 1.7381,              0.0006734,              0.0006734,              0.0006734
                     69,                0.88468,                0.68523,                 1.3585,                0.97602,                0.81818,                 0.8907,                0.58546,                 1.5761,                 1.0438,                 1.7011,              0.0006536,              0.0006536,              0.0006536
                     70,                0.89923,                0.71292,                 1.3352,                      1,                0.78971,                0.88493,                0.61074,                 1.4867,                 1.0977,                   1.62,              0.0006338,              0.0006338,              0.0006338
                     71,                0.88998,                0.69688,                 1.3192,                0.97849,                0.81818,                0.89071,                0.57108,                 1.5131,                 1.0021,                 1.6698,               0.000614,               0.000614,               0.000614
                     72,                 1.0688,                0.78434,                  1.447,                0.98605,                0.81818,                0.89757,                0.54504,                  1.547,                 1.0494,                 1.6664,              0.0005942,              0.0005942,              0.0005942
                     73,                0.86224,                0.66275,                 1.2825,                0.89993,                0.90909,                0.89757,                0.56261,                 1.5357,                 1.0895,                 1.6424,              0.0005744,              0.0005744,              0.0005744
                     74,                 0.9605,                0.69614,                 1.2963,                      1,                0.81604,                0.89757,                0.54643,                 1.5413,                 1.0893,                 1.6697,              0.0005546,              0.0005546,              0.0005546
                     75,                0.93257,                0.68022,                 1.3233,                0.98095,                0.81818,                0.89753,                0.54418,                 1.5457,                0.94532,                  1.665,              0.0005348,              0.0005348,              0.0005348
                     76,                0.83992,                0.67943,                 1.2511,                0.99182,                0.81818,                0.89752,                0.59925,                 1.4874,                0.93715,                 1.6149,               0.000515,               0.000515,               0.000515
                     77,                0.99174,                0.68332,                 1.4178,                0.99218,                0.81818,                 0.8907,                0.56006,                 1.4951,                0.95319,                  1.609,              0.0004952,              0.0004952,              0.0004952
                     78,                0.89476,                0.70036,                 1.3457,                      1,                0.89036,                 0.9057,                0.58914,                 1.4887,                0.93175,                 1.6304,              0.0004754,              0.0004754,              0.0004754
                     79,                0.86404,                0.63643,                 1.2611,                0.98231,                0.81818,                0.89753,                0.59457,                 1.4903,                0.88569,                  1.617,              0.0004556,              0.0004556,              0.0004556
                     80,                0.89267,                0.67093,                 1.2791,                0.98407,                0.81818,                0.89753,                0.61776,                 1.4824,                0.87939,                 1.5748,              0.0004358,              0.0004358,              0.0004358
                     81,                0.80475,                0.59734,                 1.2512,                 0.9883,                0.81818,                0.89074,                0.59736,                 1.5087,                0.94786,                 1.5878,               0.000416,               0.000416,               0.000416
                     82,                0.85496,                0.63399,                 1.2174,                 0.9778,                0.81818,                0.89073,                 0.5791,                 1.5374,                0.99956,                 1.6039,              0.0003962,              0.0003962,              0.0003962
                     83,                0.85842,                0.60894,                 1.2331,                0.88154,                0.81818,                0.87593,                0.58004,                 1.5195,                 1.0031,                 1.6021,              0.0003764,              0.0003764,              0.0003764
                     84,                0.86365,                0.63242,                 1.2597,                 0.8824,                0.81818,                0.87098,                0.59857,                 1.4614,                 1.0216,                 1.5709,              0.0003566,              0.0003566,              0.0003566
                     85,                0.91194,                0.65562,                 1.2308,                0.87274,                0.81818,                0.85768,                 0.5754,                 1.4427,                 1.0308,                 1.5566,              0.0003368,              0.0003368,              0.0003368
                     86,                0.82829,                0.63827,                 1.2404,                 0.8851,                0.81818,                0.85769,                0.56375,                 1.4372,                 1.0384,                 1.5436,               0.000317,               0.000317,               0.000317
                     87,                0.82978,                 0.6548,                 1.2948,                0.92747,                0.81818,                   0.88,                0.58145,                 1.4341,                0.98712,                 1.5622,              0.0002972,              0.0002972,              0.0002972
                     88,                0.80452,                0.58806,                 1.2446,                0.97343,                0.81818,                0.88494,                 0.5964,                 1.4021,                0.95961,                 1.5518,              0.0002774,              0.0002774,              0.0002774
                     89,                0.82339,                0.59961,                 1.2157,                0.97833,                0.81818,                0.88493,                0.63593,                  1.387,                0.95333,                 1.5503,              0.0002576,              0.0002576,              0.0002576
                     90,                0.83657,                0.57778,                 1.2389,                0.98477,                0.81818,                0.87999,                0.62934,                   1.37,                0.94371,                 1.5383,              0.0002378,              0.0002378,              0.0002378
                     91,                 0.7454,                0.74784,                 1.2331,                      1,                0.80856,                0.87999,                0.61086,                 1.3534,                 0.9942,                 1.5095,               0.000218,               0.000218,               0.000218
                     92,                0.76023,                0.72793,                 1.2438,                 0.9879,                0.72727,                0.85558,                0.57704,                 1.3913,                 1.1026,                 1.5142,              0.0001982,              0.0001982,              0.0001982
                     93,                0.73783,                 0.6365,                 1.2645,                0.87251,                0.81818,                0.87099,                0.58086,                 1.3982,                 1.0927,                 1.5175,              0.0001784,              0.0001784,              0.0001784
                     94,                0.68592,                0.59236,                 1.2302,                 0.9889,                0.81818,                0.89754,                0.58473,                 1.3969,                0.99434,                 1.5102,              0.0001586,              0.0001586,              0.0001586
                     95,                0.79148,                0.61768,                 1.1826,                0.99084,                0.81818,                0.89754,                0.61855,                 1.3651,                0.90098,                 1.5015,              0.0001388,              0.0001388,              0.0001388
                     96,                0.68528,                0.61155,                 1.2946,                      1,                0.89663,                0.90572,                0.63338,                 1.3449,                0.88288,                 1.4967,               0.000119,               0.000119,               0.000119
                     97,                0.69707,                0.58223,                 1.2028,                0.98984,                0.81818,                0.89754,                0.62328,                 1.3461,                0.88322,                 1.4966,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.67239,                0.55847,                 1.1829,                0.98589,                0.81818,                0.89755,                0.60613,                 1.3364,                0.87489,                 1.4921,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.77475,                0.58367,                 1.3066,                0.98625,                0.81818,                0.89755,                0.59387,                 1.3213,                0.87125,                 1.4851,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.68921,                0.55984,                 1.2564,                 0.9871,                0.81818,                0.89754,                0.62512,                 1.3188,                0.87664,                 1.4791,               3.98e-05,               3.98e-05,               3.98e-05
